line,seq_index,from_machine,to_machine,from_output_pos_xyz,to_input_pos_xyz,gap_dist_m,vertical_delta_m,connection_method,feasible_yes_no,note
LINE_1,0->1,opzetband_1,metaaldetector,"(0.00,0.98,4.75)","(0.00,1.70,6.55)",1.94,-0.72,logical-only(THIN-AIR),NO,"UPHILL 0.72m: output below next input, no lift."
LINE_1,1->2,metaaldetector,westa_band_1,"(0.00,0.70,7.45)","(0.00,4.59,9.35)",4.33,-3.89,logical-only(THIN-AIR),NO,"UPHILL 3.89m: output below next input, no lift."
LINE_1,2->3,westa_band_1,shredder_1,"(0.00,1.89,15.65)","(0.00,7.65,20.00)",7.22,-5.76,logical-only(THIN-AIR),NO,"UPHILL 5.76m: input near top of 9m shredder, no lift."
LINE_1,3->4,shredder_1,transport_belt,"(0.00,1.35,20.00)","(0.00,0.77,24.20)",4.24,0.58,gravity-gutter(DRAWN),YES,""
LINE_1,4->5,transport_belt,overband_magnet,"(0.00,0.77,27.80)","(0.00,1.53,29.65)",2.00,-0.77,logical-only(THIN-AIR),NO,"UPHILL 0.77m."
LINE_1,5->6,overband_magnet,transport_belt,"(0.00,0.63,32.35)","(0.00,0.77,34.20)",1.85,-0.14,logical-only(THIN-AIR),YES,"near-level belt-to-belt"
LINE_1,6->7,transport_belt,vw_trommel,"(0.00,0.77,37.80)","(0.00,2.21,39.73)",2.41,-1.44,logical-only(THIN-AIR),NO,"UPHILL 1.44m: drum-screen inlet higher than belt."
LINE_1,7->8,vw_trommel,scheidingsgoot,"(0.00,0.91,43.77)","(0.00,1.19,45.65)",1.90,-0.28,logical-only(THIN-AIR),NO,"UPHILL 0.28m."
LINE_1,8->19,scheidingsgoot,mill,"(0.00,0.49,48.35)","(0.00,4.08,72.80)",24.71,-3.59,logical-only(THIN-AIR),NO,"24.7m thin-air leap across whole wash branch + UPHILL 3.59m."
LINE_1,19->24,mill,flotation_tank,"(0.00,0.72,72.80)","(0.00,1.15,82.55)",9.76,-0.43,logical-only(THIN-AIR),NO,"9.8m thin-air + slightly uphill."
LINE_1,24->25,flotation_tank,dewater_screw,"(0.00,1.18,90.65)","(0.00,1.04,92.82)",2.18,0.14,logical-only(THIN-AIR),YES,""
LINE_1,25->26,dewater_screw,friction_sep,"(0.00,2.47,96.88)","(0.00,1.70,98.82)",2.10,0.77,gravity-gutter(DRAWN),YES,""
LINE_1,26->35,friction_sep,cyclone,"(0.00,0.70,102.88)","(0.64,2.40,121.40)",18.61,-1.70,logical-only(THIN-AIR),NO,"18.6m thin-air across kufferath/mas side-lanes + UPHILL into cyclone inlet."
LINE_1,35->36,cyclone,silo,"(0.00,0.24,121.40)","(0.00,5.40,125.20)",6.41,-5.16,logical-only(THIN-AIR),NO,"IMPOSSIBLE: cyclone bottom outlet 0.24m must gravity-feed silo top 5.40m."
LINE_1,36->37,silo,extruder_1,"(0.00,0.72,125.20)","(0.00,1.80,133.42)",8.30,-1.08,logical-only(THIN-AIR),NO,"8.3m thin-air; AND LineFlow never builds this edge (silo back-links to cyclone)."
LINE_1,8->9,scheidingsgoot,friction_sep,"(0.00,0.49,48.35)","(-2.50,1.70,48.98)",2.85,-1.21,logical-only(THIN-AIR),NO,"BRANCH split-L. UPHILL 1.21m."
LINE_1,8->10,scheidingsgoot,friction_sep,"(0.00,0.49,48.35)","(2.50,1.70,48.98)",2.85,-1.21,logical-only(THIN-AIR),NO,"BRANCH split-R. UPHILL 1.21m."
LINE_1,9->11,friction_sep,mech_dryer,"(-2.50,0.70,53.02)","(-2.50,2.55,54.65)",2.46,-1.85,logical-only(THIN-AIR),NO,"BRANCH L. UPHILL 1.85m."
LINE_1,10->12,friction_sep,mech_dryer,"(2.50,0.70,53.02)","(2.50,2.55,54.65)",2.46,-1.85,logical-only(THIN-AIR),NO,"BRANCH R. UPHILL 1.85m."
LINE_1,11->13,mech_dryer,blower,"(-2.50,1.50,58.02)","(-2.00,0.60,60.50)",2.68,0.90,gravity-gutter(DRAWN),YES,"BRANCH L."
LINE_1,12->14,mech_dryer,blower,"(2.50,1.50,58.02)","(2.00,0.60,60.50)",2.68,0.90,gravity-gutter(DRAWN),YES,"BRANCH R."
LINE_1,13->15,blower,cyclone,"(-2.00,1.02,60.50)","(-1.36,2.40,63.00)",2.93,-1.38,logical-only(THIN-AIR),NO,"BRANCH L. UPHILL 1.38m (blower outlet below cyclone inlet)."
LINE_1,14->16,blower,cyclone,"(2.00,1.02,60.50)","(2.64,2.40,63.00)",2.93,-1.38,logical-only(THIN-AIR),NO,"BRANCH R. UPHILL 1.38m."
LINE_1,15->17,cyclone,transport_screw,"(-2.00,0.24,63.00)","(-2.00,0.96,63.98)",1.21,-0.72,logical-only(THIN-AIR),NO,"BRANCH L. UPHILL 0.72m."
LINE_1,16->18,cyclone,transport_screw,"(2.00,0.24,63.00)","(2.00,0.96,63.98)",1.21,-0.72,logical-only(THIN-AIR),NO,"BRANCH R. UPHILL 0.72m."
LINE_1,17->19,transport_screw,mill,"(-2.00,2.28,68.03)","(0.00,4.08,72.80)",5.48,-1.80,logical-only(THIN-AIR),NO,"BRANCH merge-L. UPHILL 1.80m; LineFlow back-links screw->cyclone instead."
LINE_1,18->19,transport_screw,mill,"(2.00,2.28,68.03)","(0.00,4.08,72.80)",5.48,-1.80,logical-only(THIN-AIR),NO,"BRANCH merge-R."
LINE_1,19->20,mill,blower,"(0.00,0.72,72.80)","(-2.00,0.60,77.10)",4.74,0.12,logical-only(THIN-AIR),YES,"BRANCH split-L. near-level but 4.7m thin-air."
LINE_1,19->21,mill,blower,"(0.00,0.72,72.80)","(2.00,0.60,77.10)",4.74,0.12,logical-only(THIN-AIR),YES,"BRANCH split-R."
LINE_1,20->22,blower,cyclone,"(-2.00,1.02,77.10)","(-1.36,2.40,79.60)",2.93,-1.38,logical-only(THIN-AIR),NO,"BRANCH L. UPHILL 1.38m."
LINE_1,21->23,blower,cyclone,"(2.00,1.02,77.10)","(2.64,2.40,79.60)",2.93,-1.38,logical-only(THIN-AIR),NO,"BRANCH R. UPHILL 1.38m."
LINE_1,22->24,cyclone,flotation_tank,"(-2.00,0.24,79.60)","(0.00,1.15,82.55)",3.68,-0.91,logical-only(THIN-AIR),NO,"BRANCH merge-L. UPHILL 0.91m; LineFlow back-links cyclone->blower."
LINE_1,23->24,cyclone,flotation_tank,"(2.00,0.24,79.60)","(0.00,1.15,82.55)",3.68,-0.91,logical-only(THIN-AIR),NO,"BRANCH merge-R."
LINE_1,26->27,friction_sep,kufferath_sieve,"(0.00,0.70,102.88)","(-2.50,1.50,104.24)",2.96,-0.80,logical-only(THIN-AIR),NO,"BRANCH split-L. UPHILL 0.80m."
LINE_1,26->28,friction_sep,kufferath_sieve,"(0.00,0.70,102.88)","(2.50,1.50,104.24)",2.96,-0.80,logical-only(THIN-AIR),NO,"BRANCH split-R."
LINE_1,27->29,kufferath_sieve,mas_bak,"(-2.50,0.70,107.13)","(-2.50,1.62,109.20)",2.27,-0.92,logical-only(THIN-AIR),NO,"BRANCH L. UPHILL 0.92m."
LINE_1,28->30,kufferath_sieve,mas_bak,"(2.50,0.70,107.13)","(2.50,1.62,109.20)",2.27,-0.92,logical-only(THIN-AIR),NO,"BRANCH R."
LINE_1,29->31,mas_bak,mas_droger,"(-2.50,0.90,111.45)","(-2.50,2.04,112.75)",1.73,-1.14,logical-only(THIN-AIR),NO,"BRANCH L. UPHILL 1.14m."
LINE_1,30->32,mas_bak,mas_droger,"(2.50,0.90,111.45)","(2.50,2.04,112.75)",1.73,-1.14,logical-only(THIN-AIR),NO,"BRANCH R."
LINE_1,31->33,mas_droger,blower,"(-2.50,0.84,115.45)","(-2.00,0.60,118.60)",3.20,0.24,logical-only(THIN-AIR),YES,"BRANCH L."
LINE_1,32->34,mas_droger,blower,"(2.50,0.84,115.45)","(2.00,0.60,118.60)",3.20,0.24,logical-only(THIN-AIR),YES,"BRANCH R."
LINE_1,33->35,blower,cyclone,"(-2.00,1.02,118.60)","(0.64,2.40,121.40)",4.09,-1.38,logical-only(THIN-AIR),NO,"BRANCH merge-L. UPHILL 1.38m; LineFlow back-links blower->blower."
LINE_1,34->35,blower,cyclone,"(2.00,1.02,118.60)","(0.64,2.40,121.40)",3.40,-1.38,logical-only(THIN-AIR),NO,"BRANCH merge-R."
LINE_3A,0->1,vuilsnippersilo,transport_screw,"(1.05,1.00,1.50)","(0.00,0.96,4.72)",3.39,0.04,logical-only(THIN-AIR),YES,"3.4m thin-air, near-level"
LINE_3A,1->2,transport_screw,friction_washer,"(0.00,2.28,8.78)","(0.00,1.27,10.65)",2.13,1.00,gravity-gutter(DRAWN),YES,""
LINE_3A,2->3,friction_washer,transfer_chute,"(0.00,0.52,13.35)","(0.00,1.19,15.90)",2.64,-0.67,logical-only(THIN-AIR),NO,"UPHILL 0.67m: chute inlet above tank rim; AND chute back-links to washer."
LINE_3A,3->4,transfer_chute,water_pump,"(0.00,0.17,15.90)","(0.00,0.77,18.36)",2.54,-0.60,logical-only(THIN-AIR),NO,"UPHILL 0.60m. NOTE water_pump role=none -> not in flow; this edge never forms."
LINE_3A,4->5,water_pump,friction_sep,"(0.00,0.32,19.54)","(0.00,1.70,21.32)",2.26,-1.39,logical-only(THIN-AIR),NO,"UPHILL 1.39m. water_pump is a non-flow fixture (gap in the chain)."
LINE_3A,5->6,friction_sep,flotation_tank,"(0.00,0.70,25.37)","(0.00,1.15,27.55)",2.22,-0.45,logical-only(THIN-AIR),NO,"UPHILL 0.45m."
LINE_3A,6->7,flotation_tank,dewater_screw,"(0.00,1.18,35.65)","(0.00,1.04,37.82)",2.18,0.14,logical-only(THIN-AIR),YES,""
LINE_3A,7->8,dewater_screw,friction_sep,"(0.00,2.47,41.87)","(0.00,1.70,43.82)",2.10,0.77,gravity-gutter(DRAWN),YES,""
LINE_3A,8->9,friction_sep,transport_screw,"(0.00,0.70,47.87)","(0.00,0.96,49.82)",1.97,-0.26,logical-only(THIN-AIR),NO,"UPHILL 0.26m."
